ID,CogSet_ID,Form_ID,Cognate_Comment,Phonemic,Phonetic,Orthographic,Source
ONE1_1,ONE1,,,,,<peteĩha>,
ONE1_2,ONE1,,,,[petẽˈʔĩ],,
ONE1_3,ONE1,,,,,<peteĩ>,
ONE1_4,ONE1,,,,[mə̃'tẽj],,
ONE1_5,ONE1,,,,,<pente>,
ONE1_6,ONE1,,,/pẽte/,[pente],,{2}
ONE1_7,ONE1,,,/mopẽti/,,,
ONE1_8,ONE1,,,/ɲe'pẽĩ/,,,
ONE1_9,ONE1,,,,,<ñepeĩ>,{2}
ONE1_10,ONE1,,,,,<eyebe>,
ONE1_11,ONE1,,,,,<dél iv>,{1: 87}
ONE1_12,ONE1,,,,,<mupéðo>,{9}
ONE1_13,ONE1,,,/wipi/,,,
ONE1_14,ONE1,,,,,<uyepe>,{4}
ONE1_15,ONE1,,,,,<wepe>,{2}
ONE1_16,ONE1,,,,,<ojepé>,
ONE1_17,ONE1,,,,,<ãxepe>,
ONE1_18,ONE1,,,,,<maxepe>,
ONE1_19,ONE1,,,,,<océpecowe>,
ONE1_20,ONE1,,,,,<osepé>,{3}
ONE1_21,ONE1,,,,,<mepenoan>,
ONE1_22,ONE1,,,,,<pité'i>,
ONE1_23,ONE1,,,,,<pité'i>,
ONE1_24,ONE1,,,,,<peteĩ>,{2}
ONE1_25,ONE1,,,,,<peteĩ>,
ONE1_26,ONE1,,,/tipɛʔĩ/,,,
ONE1_27,ONE1,,,,,<tʃĩpẽ>,
ONE1_28,ONE1,,,,,<mudjepẽj>,
ONE1_29,ONE1,,,,,<moi epẽn>,
ONE1_30,ONE1,,,,,<ajepeì>,{2}
ONE1_31,ONE1,,,,,<ojipeji>,
ONE1_32,ONE1,,,,,<mojepete>,
ONE1_33,ONE1,,,,,<pe'ĩ>,{2}
ONE1_34,ONE1,,,/pɛ̃ʔĩ/,,,
ONE1_35,ONE1,,,/pɛsu/,,,
ONE1_36,ONE1,,,,,<bozepe>,
ONE1_37,ONE1,,,,,<peteĩ>,{2}
ONE1_38,ONE1,,,,,<peteĩhar awa po pa>,
ONE2_1,ONE2,,,,,<peteĩ>,
ONE2_2,ONE2,,,,[petẽˈʔĩ],,
ONE2_3,ONE2,,,,,<peteĩ>,
ONE2_4,ONE2,,,,[mə̃'tẽj],,
ONE2_5,ONE2,,,,,<pente>,
ONE2_6,ONE2,,,/pẽte/,[pente],,{2}
ONE2_7,ONE2,,,/mopẽti/,,,
ONE2_8,ONE2,,,,,<pité'i>,
ONE2_9,ONE2,,,,,<pité'i>,
ONE2_10,ONE2,,,,,<peteĩ>,{2}
ONE2_11,ONE2,,,,,<peteĩ>,
ONE2_12,ONE2,,,,,<mojepete>,
ONE2_13,ONE2,,,,,<peteĩ>,{2}
ONE2_14,ONE2,,,,,<peteĩhar awa po pa>,
ONE3_1,ONE3,,,/ɲe'pẽĩ/,,,
ONE3_2,ONE3,,,,,<ñepeĩ>,{2}
ONE3_3,ONE3,,,,,<eyebe>,
ONE3_4,ONE3,,,,,<dél iv>,{1: 87}
ONE3_5,ONE3,,,/wipi/,,,
ONE3_6,ONE3,,,,,<uyepe>,{4}
ONE3_7,ONE3,,,,,<wepe>,{2}
ONE3_8,ONE3,,,,,<ojepé>,
ONE3_9,ONE3,,,,,<ãxepe>,
ONE3_10,ONE3,,,,,<maxepe>,
ONE3_11,ONE3,,,,,<océpecowe>,
ONE3_12,ONE3,,,,,<osepé>,{3}
ONE3_13,ONE3,,,/tipɛʔĩ/,,,
ONE3_14,ONE3,,,,,<tʃĩpẽ>,
ONE3_15,ONE3,,,,,<mudjepẽj>,
ONE3_16,ONE3,,,,,<moi epẽn>,
ONE3_17,ONE3,,,,,<ajepeì>,{2}
ONE3_18,ONE3,,,,,<ojipeji>,
ONE3_19,ONE3,,,,,<mojepete>,
ONE3_20,ONE3,,,,,<bozepe>,
ONE4_1,ONE4,,,,,<makamutuhũ>,{2}
ONE4_2,ONE4,,,,,<makamututuhũ>,
ONE5_1,ONE5,,,,,<wentup>,{2}
ONE5_2,ONE5,,,/wẽ:tup/,,,{4}
ONE6_1,ONE6,,,/etakrã/,,,
ONE6_2,ONE6,,,/etakɾã/,[e.ta.'kɾã],,{4}
ONE7_1,ONE7,,,,[kómĩ],,{2}
ONE8_1,ONE8,,,,,<momozotsu>,{8}
ONE8_2,ONE8,,,,,<momozotsu-kajpoupap>,
TWO1_1,TWO1,,,,,<mokõi>,
TWO1_2,TWO1,,,,[mõˈkõj̃],,
TWO1_3,TWO1,,,,,<mokoĩ>,
TWO1_4,TWO1,,,,['mɔkãj mɔkãj],,
TWO1_5,TWO1,,,,,<monokoi>,
TWO1_6,TWO1,,,/mõkoi/,,,{González}
TWO1_7,TWO1,,,/mõkoi/,,,
TWO1_8,TWO1,,,,[mokóɨ̃],,
TWO1_9,TWO1,,,,,<mókwei>,{9}
TWO1_10,TWO1,,,/mukuika/,,,
TWO1_11,TWO1,,,,,<mukuika>,
TWO1_12,TWO1,,,,,<mocõi>,
TWO1_13,TWO1,,,,,<moconhó>,
TWO1_14,TWO1,,,,,<mokõj>,
TWO1_15,TWO1,,,,,<mókos>,
TWO1_16,TWO1,,,,,<mokoc>,
TWO1_17,TWO1,,,,,<mokój>,{3}
TWO1_18,TWO1,,,,,<mokoi>,
TWO1_19,TWO1,,,,,<mokõj>,
TWO1_20,TWO1,,,,,<mukwi>,
TWO1_21,TWO1,,,,,<mukuy>,
TWO1_22,TWO1,,,,,<mukuy amo ma-irwi>,
TWO1_23,TWO1,,,,,<mokoz>,{1}
TWO1_24,TWO1,,,,,<mokõ'i>,
TWO1_25,TWO1,,,,,<mukũ1>,
TWO1_26,TWO1,,,,,<mukũj>,
TWO1_27,TWO1,,,,,<mukũj mukũj>,
TWO1_28,TWO1,,,,,<mukũj>,
TWO1_29,TWO1,,,,,<mokoi>,
TWO1_30,TWO1,,,,,<mukũì>,{2}
TWO1_31,TWO1,,,,,<mokonh>,
