ID,Set,English,English_Strict,Spanish,Portuguese,French
one1,TG100,one,,uno,"um, uma","un, une"
one2,,one@,,,,
two1,TG100,two,,dos,"dois, duas",deux
two2,,two@,,,,
three1,TG200,three,,tres,três,trois
three2,,three@,,,,
four1,TG200,four ,,cuatro,quatro,quatre
four2,,four@,,,,
five1,,five,,cinco,cinco,cinq
head1,TG100,head,,cabeza,cabeça,tête
head2,,head@,,,,
brain1,,brain,,cerebro,cérebro,"cerveau, cervelle"
brain2,,brain@,,,,
hair1,TG100,hair,,cabello (pelo),cabelos,"cheveux (hair on the head collectively), poil (one hair)"
hair2,,hair@,,,,
face1,,face,,cara (rastro),"face, cara, rosto",visage
face2,,face@,,,,
cheek1,TG100,cheek,,mejilla,bochecha,joue
mouth1,TG100,mouth,,boca,boca,bouche
mouth2,,mouth@,,,,
teeth1,TG100,"teeth, tooth",,diente (muela),dente,"dent, dents"
teeth2,,"teeth, tooth@",,,,
lip1,,lip,,labio,lábio,lèvre
lip2,,lip@,,,,
tongue1,TG100,tongue,,lengua,língua,langue
throat1,TG200,throat,,garganta,garganta,gorge
throat2,,throat@,,,,
neck1,TG100,neck,,cuello,pescoço,cou
neck2,,neck@,,,,
eye1,TG100,eye,,ojo,olho,oeil
eyebrow1,TG200,eyebrow,,ceja,sobrancelha,sourcil
eyebrow2,,eyebrow@,,,,
nose1,TG100,nose,,nariz,nariz,nez
nose2,,nose@,,,,
ear1,TG100,ear,,oreja (oído),"orelha, ouvido",oreille
ear2,,ear@,,,,
beard1,,"beard, moustache, facial hair","beard, barba, barca",barba,barba,barbe
beard2,,"beard, moustache, facial hair@",,,,
jaw1,,jaw,,mandíbula,"mandíbula, maxilar",mâchoire
jaw2,,jaw@,,,,
chin1,TG200,chin,,barbilla (cachete),queixo,menton
chin2,,chin@,,,,
breast1,TG100,breast,,mama (seno),seio,sein
breast2,,breast@,,,,
chest1,,chest,,pecho,peito,poitrine
chest2,,chest@,,,,
lung1,,lung,,pulmón,pulmão,poumon
lung2,,lung@,,,,
heart1,TG100,heart,,corazón,coração,coeur
heart2,,heart@,,,,
belly1,TG100,belly,,vientre (barriga),barriga (ventre),ventre
belly2,,belly@,,,,
stomach1,,stomach,,estómago,estômago,estomac
stomach2,,stomach@,,,,
intestines1,TG200,"intestines, guts",,intestino (entrañas),"intestinos, entranhas","entrailles, intestins"
intestines2,,"intestines, guts@",,,,
kidney1,,kidney,,riñón,rins,rein
kidney2,,kidney@,,,,
liver1,TG100,liver,,hígado,fígado,foie
spleen1,,spleen,,bazo,baço,rate
spleen2,,spleen@,,,,
rib1,,rib,,costilla,costela,côte
rib2,,rib@,,,,
back1,TG200,back,,espalda,costas/dorso,dos
back2,,back@,,,,
nape1,,"nape, back of neck",,nuca,"nuca, cogote, cangote",nuque
nape2,,"nape, back of neck@",,,,
bellybutton1,,belly button,,ombligo,umbigo,nombril
bellybutton2,,belly button@,,,,
testicles1,,testicles,,testiculo,testículos,testicule
testicles2,,testicles@,,,,
penis1,TG200,penis,,pene,pênis,pénis
penis2,,penis@,,,,
vagina1,TG200,vagina,,vagina,vagina,"vagin, vulve "
vagina2,,vagina@,,,,
groin1,,groin,,"ingle, entrepierna","virilha, entrepernas",aine
buttocks1,,buttocks,,"nalga, culo","nádega, trazeiro, anca",fesse
buttocks2,,buttocks@,,,,
anus1,,anus,,ano,ânus,anus
anus2,,anus@,,,,
shoulder1,TG200,shoulder,,hombro,ombro,épaule
shoulder2,,shoulder@,,,,
arm1,,arm,,brazo,braço,bras (including avant-bras) (avant-bras is the lower part of the arm)
arm2,,arm@,,,,
elbow1,,elbow,,codo,cotovelo,coude
elbow2,,elbow@,,,,
hand1,TG100,hand,,mano,mão,main
finger1,,finger,,dedo,dedo,doigt
finger2,,finger@,,,,
fingernail1,TG100,fingernail,,uña ,unha,ongle
fingernail2,,fingernail@,,,,
foot1,TG100,foot,,pie,pé,pied
foot2,,foot@,,,,
heel1,,heel,,talón,calcanhar,talon
toe1,,toe,,dedo de pie,dedo do pé,"orteil, doigt de pied"
toe2,,toe@,,,,
toenail1,,toenail,,uña de pie,unha do pé,ongle de pied
leg1,TG200,leg,,pierna,perna,jambe
leg2,,leg@,,,,
thigh1,,thigh,,muslo,coxa,cuisse
thigh2,,thigh@,,,,
knee1,TG100,knee,,rodilla,joelho,genou
knee2,,knee@,,,,
ankle1,,ankle,,tobillo,tornozelo,cheville
ankle2,,ankle@,,,,
blood1,TG100,blood,,sangre,sangue,sang
vein1,,"vein, artery",,"vena, arteria","veia, artéria","veine, artère"
vein2,,"vein, artery@",,,,
skin1,TG100,skin,,piel,pele,peau
skin2,,skin@,,,,
bone1,TG100,bone,,hueso,osso,os
bone2,,bone@,,,,
