ID,Language_ID,Phonemic,Phonetic,Orthographic,Variants,Form_Comment,Source,Procedural_Comment,Procedural_Comment_Concept,Concept_ID
ache1_one1_1,ache1,/etakɾã/,[e.ta.'kɾã],,,(uno; solo),ache1{4},,,one1
ache1_one1_2,ache1,/etakrã/,,,,,ache1{1},,,one1
paraguayan_guarani1_one1_1,paraguayan_guarani1,,,<peteĩ>,,(uno),paraguayan_guarani1{Guasch1962:670},,,one1
kaiwa1_one1_1,kaiwa1,,[petẽˈʔĩ],,,,kaiwa1{1},,,one1
mbya_guarani1_one1_1,mbya_guarani1,,,<peteĩ>,,,mbya_guarani1{1},,,one1
chiripa1_one1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,one1
xeta1_one1_1,xeta1,,[mə̃'tẽj],,,,xeta1{1},,,one1
tapiete1_one1_1,tapiete1,,,<pente>,,,tapiete1{1},,,one1
tapiete1_one1_2,tapiete1,/pẽte/,[pente],,,,tapiete1{2},,,one1
eastern_bolivian_guarani1_one1_1,eastern_bolivian_guarani1,/mopẽti/,,,,,eastern_bolivian_guarani1{1},,,one1
guarayu1_one1_1,guarayu1,/ɲe'pẽĩ/,,,,,guarayu1{1},,,one1
guarayu1_one1_2,guarayu1,,,<ñepeĩ>,,"(eins, einer)",guarayu1{2},,,one1
siriono1_one1_1,siriono1,,[kómĩ],,,(uno),siriono1{2},,,one1
yuqui1_one1_1,yuqui1,,,<eyebe>,,,yuqui1{1: 278},,,one1
jora1_one1_1,jora1,,,<dél iv>,,,jora1{1: 87},,,one1
warazu1_one1_1,warazu1,,,<mupéðo>,,,warazu1{9},,,one1
omagua1_one1_1,omagua1,/wipi/,,,,,omagua1{1},,,one1
omagua2_one1_1,omagua2,,,<uyepe>,,(OOMG),omagua2{4},,,one1
cocama_cocamilla1_one1_1,cocama_cocamilla1,,,<wepe>,,,cocama_cocamilla1{2},,,one1
tupinamba1_one1_1,tupinamba1,,,<ojepé>,,,tupinamba1{1},,,one1
tupinamba1_one1_2,tupinamba1,,,<mojepé>,,,tupinamba1{1},,,one1
tapirape1_one1_1,tapirape1,,,<ãxepe>,~<maxepe>,,tapirape1{1},,,one1
tocantins_asurini1_one1_1,tocantins_asurini1,,,<osepé>,,,tocantins_asurini1{3},,,one1
parakana1_one1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,one1
canoeiro1_one1_1,canoeiro1,,,<mepenoan>,,,canoeiro1{1},,,one1
tembe1_one1_1,tembe1,,,<pité'i>,,,tembe1{1},,,one1
guajajara1_one1_1,guajajara1,,,<pitài>,,(um),guajajara1{1},,,one1
guajajara1_one1_2,guajajara1,,,<pitei>,,(one),guajajara1{2},,,one1
turiwara1_one1_1,turiwara1,,,<peteĩ>,,(um),turiwara1{1},,,one1
anambe1_one1_1,anambe1,/tipɛʔĩ/,,,,,anambe1{1},,,one1
arawete1_one1_1,arawete1,,,<tʃĩpẽ>,,,arawete1{1},,,one1
xingu_asurini1_one1_1,xingu_asurini1,,,<mudjepẽj>,,,xingu_asurini1{2},,,one1
xingu_asurini1_one1_2,xingu_asurini1,,,<moi epẽn>,,,xingu_asurini1{1},,,one1
kayabi1_one1_1,kayabi1,,,<ajepeì>,,,kayabi1{2},,,one1
apiaka1_one1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,one1
parintintin1_one1_1,parintintin1,,,<ojipeji>,,,parintintin1{1},,,one1
kamayura1_one1_1,kamayura1,,,<mojepete>,,,kamayura1{1},,,one1
wayampi1_one1_1,wayampi1,,,<pe'ĩ>,,,wayampi1{2},,,one1
wayampi1_one1_2,wayampi1,/pɛ̃ʔĩ/,,,,"(un, var. de pɛsu dans le parler du Haut-Oyapock uniquement)",wayampi1{1: 348},,,one1
teko1_one1_1,teko1,,,<bozepe>,~<mozepẽ>,,teko1{1},,,one1
urubu_kaapor1_one1_1,urubu_kaapor1,,,<peteĩ>,,,urubu_kaapor1{2},,,one1
urubu_kaapor1_one1_2,urubu_kaapor1,,,<peteĩ>,,,urubu_kaapor1{6: 196},,,one1
guaja1_one1_1,guaja1,,,<makamutuhũ>,,,guaja1{2},,,one1
aweti1_one1_1,aweti1,,,<momozotsu>,,(um),aweti1{8},,,one1
satere_mawe1_one1_1,satere_mawe1,,,<wentup>,,,satere_mawe1{2},,,one1
tocantins_asurini1_one2_1,tocantins_asurini1,,,<océpecowe>,,(uma vez),tocantins_asurini1{2},,,one2
parakana1_one2_1,parakana1,,,<hypy>,,(primeiro),parakana1{1},,,one2
wayampi1_one2_1,wayampi1,/pɛsu/,,,,"(un, var. dans le parler de Camopi de pɛ̃ʔĩ)",wayampi1{1:347},,,one2
ache1_two1_1,ache1,/bĩɾõ1/,[mĩ.'ɾõ1],,,(dos),ache1{4},,,two1
ache1_two1_2,ache1,/mirõ/,,,,,ache1{1},,,two1
paraguayan_guarani1_two1_1,paraguayan_guarani1,,,<mokõi>,,(dos),paraguayan_guarani1{Guasch1962:616},,,two1
kaiwa1_two1_1,kaiwa1,,[mõˈkõj̃],,,,kaiwa1{1},,,two1
mbya_guarani1_two1_1,mbya_guarani1,,,<mokoĩ>,,,mbya_guarani1{1},,,two1
chiripa1_two1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,two1
xeta1_two1_1,xeta1,,[mẽmɪ̃],,,,xeta1{1},,,two1
tapiete1_two1_1,tapiete1,,,<monokoi>,,,tapiete1{1},http://lingweb.eva.mpg.de/numeral/Tapiete.htm,,two1
tapiete1_two1_2,tapiete1,/mõkoi/,,,,,tapiete1{González},http://lingweb.eva.mpg.de/numeral/Tapiete.htm,,two1
eastern_bolivian_guarani1_two1_1,eastern_bolivian_guarani1,/mõkoi/,,,,,eastern_bolivian_guarani1{1},,,two1
guarayu1_two1_1,guarayu1,/ɲuβɨ̃'ɾĩõ/,,,,,guarayu1{1},,,two1
